assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/ebov_hsa_7h/final/trinity.fasta,121575,190,32958,131284068,1079.85444,4,31302,446,29666,52.15256,342,1240,2748,4548,7861,0.47575,0,0.0,22268601,8826331,0.39636,8370969,0.37591,455362,0,76433503,0.5822,66998,0.55108,121575,1.0,121575,1.0,5942,0.04888,64447,64447,0.5301,0.36177,32430,0.18204,10339,0.05804,6674,0.03746,4283,0.02404,3358,0.01885,2245,0.0126,0.08296,0.11471,0.19023,0.18733,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_7h/final/oases.fasta,259024,100,30876,413418382,1577.23614,32539,115525,1461,93991,43.81502,795,2047,3352,4991,8222,0.4709,0,0.0,22268601,1109641,0.04983,980599,0.04404,129042,0,391537099,0.94707,238630,0.92127,259024,1.0,259024,1.0,3096,0.01195,172679,172679,0.66665,0.96933,35026,0.19662,15567,0.08738,11096,0.06229,7407,0.04158,5820,0.03267,3834,0.02152,0.12149,0.00086,0.01572,0.28093,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/ebov_hsa_7h/final/trans-abyss.fasta,275008,100,33717,159092044,517.394,127520,37375,281,38250,51.96626,376,1025,2240,4247,33717,0.46957,0,0.0,22268601,4390754,0.19717,4021625,0.1806,369129,0,97946993,0.61566,188030,0.68373,275008,1.0,275008,1.0,11279,0.04101,124678,124678,0.45336,0.69988,48425,0.27183,19123,0.10735,11311,0.06349,6537,0.0367,4864,0.0273,2966,0.01665,0.12851,0.01175,0.07246,0.18921,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_7h/final/soap-trans-default.fasta,165909,100,18920,77171809,395.68574,86791,15236,116,13587,49.37891,315,885,2422,4774,18920,0.46135,88811,0.00115,22268601,17054362,0.76585,15707902,0.70538,1346460,0,10402229,0.13479,86391,0.52071,165909,1.0,165909,1.0,9618,0.05797,60007,60007,0.36169,0.33685,34295,0.19251,9939,0.05579,5547,0.03114,3452,0.01938,2701,0.01516,1733,0.00973,0.07571,0.08569,0.3314,0.24745,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/ebov_hsa_7h/final/rna-spades.fasta,243604,49,24540,120597574,418.92345,104828,21847,226,18063,45.99342,270,764,2448,5083,24540,0.45697,16169,0.00013,22268601,11411607,0.51245,10771691,0.48372,639916,0,24134507,0.20012,62821,0.25788,243604,1.0,243604,1.0,7748,0.03181,62866,62866,0.25807,0.3529,36498,0.20488,11865,0.0666,7164,0.04021,4342,0.02437,3369,0.01891,2132,0.01197,0.09082,0.07834,0.29863,0.01577,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/ebov_hsa_7h/final/spades.fasta,125233,55,20514,76646332,597.31671,19577,15588,150,13212,48.01043,254,560,1533,3452,7071,0.46313,32561,0.00042,22268601,19038680,0.85496,17799804,0.79932,1238876,0,1938339,0.02529,50920,0.4066,125233,1.0,125233,1.0,5191,0.04145,52295,52295,0.41758,0.29356,31716,0.17804,9595,0.05386,5774,0.03241,3614,0.02029,2853,0.01602,1777,0.00998,0.07618,0.28049,0.50802,0.03131,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_7h/final/idba-tran.fasta,95730,200,14793,67564753,705.78453,0,16160,30,15558,50.41416,301,530,1020,1990,4151,0.46385,0,0.0,22268601,17703528,0.795,14861393,0.66737,2842135,0,754072,0.01116,38312,0.40021,95730,1.0,95730,1.0,7371,0.077,55248,55248,0.57712,0.31013,32452,0.18217,11527,0.06471,5722,0.03212,2313,0.01298,1372,0.0077,594,0.00333,0.07533,0.36781,0.38971,0.0357,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_7h/final/bridger.fasta,103284,201,20494,101788269,985.51827,0,23481,348,20628,47.63959,317,1018,2550,4357,7480,0.46965,0,0.0,22268601,8801425,0.39524,8236499,0.36987,564926,0,47773597,0.46934,59257,0.57373,103284,1.0,103284,1.0,5051,0.0489,49021,49021,0.47462,0.27518,28801,0.16167,9808,0.05506,5902,0.03313,3639,0.02043,2836,0.01592,1801,0.01011,0.07521,0.14174,0.17706,0.01881,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_7h/final/binpacker.fasta,28888,201,20392,82239975,2846.85596,0,22925,425,20765,47.6602,1515,2799,4065,5677,8773,0.47739,0,0.0,22268601,7013523,0.31495,6595135,0.29616,418388,0,62389157,0.75862,25451,0.88102,28888,1.0,28888,1.0,2725,0.09433,27114,27114,0.93859,0.1522,14295,0.08024,6017,0.03378,4633,0.02601,3235,0.01816,2606,0.01463,1715,0.00963,0.05603,0.02326,0.11378,0.33391,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_7h/final/shannon.fasta,133199,200,18276,134108876,1006.83095,0,35758,256,35397,54.6887,327,1124,2287,3740,6445,0.47456,0,0.0,22268601,2426275,0.10895,2145413,0.09634,280862,0,95170904,0.70965,101586,0.76266,133199,1.0,133199,1.0,11895,0.0893,84711,84711,0.63597,0.47552,28950,0.16251,15443,0.08669,10304,0.05784,6275,0.03522,4543,0.0255,2426,0.01362,0.1225,0.01259,0.03624,0.21922,0.0
