METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.163                    0.19                     0.185                    0.145                    0.137                    0.135                    0.006                    0.149                    0.16                     0.132                    
Duplication ratio                                      1.697                    1.554                    3.91                     1.042                    1.005                    1.434                    2.014                    1.808                    1.117                    1.003                    
Avg. number of transcripts mapped to one isoform       1.972                    2.54                     4.409                    1.769                    1.626                    1.739                    1.906                    2.71                     1.742                    1.522                    

50%-assembled genes                                    9238                     9697                     9622                     8709                     8041                     8244                     453                      8147                     9604                     8849                     
95%-assembled genes                                    3275                     2971                     3265                     2481                     569                      2540                     227                      2047                     3173                     2650                     
50%-covered genes                                      10687                    11339                    10755                    10562                    10360                    9664                     458                      10039                    11370                    9988                     
95%-covered genes                                      4162                     4144                     4303                     3195                     1639                     3066                     235                      3018                     4129                     3126                     

50%-assembled isoforms                                 12986                    15150                    16278                    9932                     9681                     10020                    550                      11168                    11442                    9529                     
95%-assembled isoforms                                 3826                     3153                     3948                     2553                     569                      2781                     255                      2303                     3335                     2653                     
50%-covered isoforms                                   15216                    19670                    18656                    12582                    13221                    11907                    556                      14104                    14134                    11049                    
95%-covered isoforms                                   4833                     4480                     5211                     3284                     1642                     3327                     264                      3403                     4338                     3132                     

50%-assembled exons                                    128136                   139692                   131842                   125234                   117962                   114436                   5892                     121349                   129917                   115788                   
95%-assembled exons                                    110869                   114481                   113330                   105927                   99675                    98794                    5502                     103869                   110425                   100910                   

Mean isoform assembly                                  0.464                    0.38                     0.498                    0.332                    0.381                    0.408                    0.712                    0.45                     0.354                    0.407                    

Mean isoform coverage                                  0.518                    0.444                    0.549                    0.383                    0.454                    0.455                    0.718                    0.524                    0.407                    0.451                    
Mean exon coverage                                     0.9                      0.85                     0.896                    0.85                     0.886                    0.884                    0.954                    0.896                    0.86                     0.888                    

Avg. percentage of isoform 50%-covered exons           0.513                    0.426                    0.554                    0.349                    0.407                    0.435                    0.768                    0.528                    0.371                    0.427                    
Avg. percentage of isoform 95%-covered exons           0.393                    0.296                    0.434                    0.236                    0.283                    0.316                    0.688                    0.396                    0.259                    0.31                     

 == GeneMarkS-T METRICS == 
Genes                                                  30445                    44205                    95194                    16217                    23025                    22024                    1376                     35683                    20358                    15761                    

